"specimen_collection_date","age_group","new_confirmed_cases","cumulative_confirmed_cases","last_updated"
2020-08-03,"71-80",5,258,2020-10-02 14:26:52
2020-08-04,"71-80",1,259,2020-10-02 14:26:52
2020-08-05,"71-80",1,260,2020-10-02 14:26:52
2020-08-06,"71-80",5,265,2020-10-02 14:26:52
2020-08-07,"71-80",7,272,2020-10-02 14:26:52
2020-08-08,"71-80",2,274,2020-10-02 14:26:52
2020-08-09,"71-80",1,275,2020-10-02 14:26:52
2020-08-10,"71-80",4,279,2020-10-02 14:26:52
2020-08-11,"71-80",1,280,2020-10-02 14:26:52
2020-08-12,"71-80",6,286,2020-10-02 14:26:52
2020-08-13,"71-80",3,289,2020-10-02 14:26:52
2020-08-14,"71-80",3,292,2020-10-02 14:26:52
2020-08-15,"71-80",3,295,2020-10-02 14:26:52
2020-08-16,"71-80",1,296,2020-10-02 14:26:52
2020-08-17,"71-80",0,296,2020-10-02 14:26:52
2020-08-18,"71-80",2,298,2020-10-02 14:26:52
2020-08-19,"71-80",4,302,2020-10-02 14:26:52
2020-08-20,"71-80",3,305,2020-10-02 14:26:52
2020-08-21,"71-80",6,311,2020-10-02 14:26:52
2020-08-22,"71-80",0,311,2020-10-02 14:26:52
2020-08-23,"71-80",1,312,2020-10-02 14:26:52
2020-08-24,"71-80",3,315,2020-10-02 14:26:52
2020-08-25,"71-80",6,321,2020-10-02 14:26:52
2020-08-26,"71-80",1,322,2020-10-02 14:26:52
2020-08-27,"71-80",3,325,2020-10-02 14:26:52
2020-08-28,"71-80",2,327,2020-10-02 14:26:52
2020-08-29,"71-80",2,329,2020-10-02 14:26:52
2020-08-30,"71-80",1,330,2020-10-02 14:26:52
2020-08-31,"71-80",0,330,2020-10-02 14:26:52
2020-09-01,"71-80",3,333,2020-10-02 14:26:52
2020-09-02,"71-80",4,337,2020-10-02 14:26:52
2020-09-03,"71-80",4,341,2020-10-02 14:26:52
2020-09-04,"71-80",1,342,2020-10-02 14:26:52
2020-09-05,"71-80",3,345,2020-10-02 14:26:52
2020-09-06,"71-80",0,345,2020-10-02 14:26:52
2020-09-07,"71-80",5,350,2020-10-02 14:26:52
2020-09-08,"71-80",4,354,2020-10-02 14:26:52
2020-09-09,"71-80",6,360,2020-10-02 14:26:52
2020-09-10,"71-80",3,363,2020-10-02 14:26:52
2020-09-11,"71-80",7,370,2020-10-02 14:26:52
2020-09-12,"71-80",5,375,2020-10-02 14:26:52
2020-09-13,"71-80",1,376,2020-10-02 14:26:52
2020-09-14,"71-80",1,377,2020-10-02 14:26:52
2020-09-15,"71-80",4,381,2020-10-02 14:26:52
2020-09-16,"71-80",3,384,2020-10-02 14:26:52
2020-09-17,"71-80",1,385,2020-10-02 14:26:52
2020-09-18,"71-80",1,386,2020-10-02 14:26:52
2020-09-19,"71-80",1,387,2020-10-02 14:26:52
2020-09-20,"71-80",0,387,2020-10-02 14:26:52
2020-09-21,"71-80",1,388,2020-10-02 14:26:52
2020-09-22,"71-80",1,389,2020-10-02 14:26:52
2020-09-23,"71-80",3,392,2020-10-02 14:26:52
2020-09-24,"71-80",2,394,2020-10-02 14:26:52
2020-09-25,"71-80",2,396,2020-10-02 14:26:52
2020-09-26,"71-80",2,398,2020-10-02 14:26:52
2020-09-27,"71-80",1,399,2020-10-02 14:26:52
2020-09-28,"71-80",2,401,2020-10-02 14:26:52
2020-09-29,"71-80",1,402,2020-10-02 14:26:52
2020-09-30,"71-80",3,405,2020-10-02 14:26:52
2020-10-01,"71-80",0,405,2020-10-02 14:26:52
2020-03-11,"31-40",3,7,2020-10-02 14:26:52
2020-03-12,"31-40",1,8,2020-10-02 14:26:52
2020-03-13,"31-40",3,11,2020-10-02 14:26:52
2020-03-14,"31-40",2,13,2020-10-02 14:26:52
2020-03-15,"31-40",4,17,2020-10-02 14:26:52
2020-03-16,"31-40",15,32,2020-10-02 14:26:52
2020-03-17,"31-40",13,45,2020-10-02 14:26:52
2020-03-18,"31-40",4,49,2020-10-02 14:26:52
2020-03-19,"31-40",5,54,2020-10-02 14:26:52
2020-03-20,"31-40",8,62,2020-10-02 14:26:52
2020-03-21,"31-40",4,66,2020-10-02 14:26:52
2020-03-22,"31-40",2,68,2020-10-02 14:26:52
2020-03-23,"31-40",7,75,2020-10-02 14:26:52
2020-03-24,"31-40",14,89,2020-10-02 14:26:52
2020-03-25,"31-40",10,99,2020-10-02 14:26:52
2020-03-26,"31-40",8,107,2020-10-02 14:26:52
2020-03-27,"31-40",7,114,2020-10-02 14:26:52
